Lecturer Codes,Block,Exam Day,Exam Type,Exam Period
LEC 268,PTDF,9-18-2018,CBE,AM
LEC 234,AE,9-18-2018,PBE,AM
LEC 475,ICT,9-18-2018,CBE,AM
LEC 456,AG,9-19-2018,PBE,PM
LEC 390,TIKC,9-19-2018,CBE,AM
LEC 319,AF,9-19-2018,PBE,PM
LEC 467,E-LIB,9-20-2018,CBE,AM
LEC 427,AH,9-20-2018,PBE,PM
LEC 310,AJ,9-20-2018,PBE,PM
LEC 478,ICT,9-21-2018,CBE,AM
LEC 288,PTDF,9-21-2018,CBE,AM
LEC 9,AJ,9-21-2018,PBE,PM
LEC 202,BA,9-21-2018,PBE,PM
LEC 148,BB,9-22-2018,PBE,PM
LEC 181,ICT,9-22-2018,CBE,AM
LEC 332,BA,9-22-2018,PBE,PM
LEC 208,BC,9-23-2018,PBE,AM
LEC 36,BB,9-23-2018,PBE,AM
LEC 42,TIKC,9-23-2018,CBE,AM
LEC 18,E-LIB,9-24-2018,CBE,AM
LEC 524,BC,9-24-2018,PBE,PM
LEC 523,BD,9-24-2018,PBE,AM
LEC 354,BD,9-25-2018,PBE,AM
LEC 491,BE,9-25-2018,PBE,AM
LEC 152,BE,9-26-2018,PBE,PM
LEC 293,ICT,9-26-2018,CBE,AM
LEC 195,AUD 1,9-27-2018,PBE,PM
LEC 512,CCL,9-27-2018,PBE,AM
LEC 529,AUD 2 & 3,9-27-2018,PBE,PM
